source_policy,policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon
cogact,cogact,carrot,11,3,202707313,0,60,,0,60
cogact,cogact,carrot,12,3,202707314,1,60,,0,60
cogact,cogact,carrot,13,3,202707315,1,60,,0,60
cogact,cogact,carrot,14,3,202707316,1,60,,0,60
cogact,cogact,carrot,15,3,202707317,1,60,,0,60
cogact,cogact,carrot,16,3,202707318,1,60,,0,60
cogact,cogact,carrot,17,3,202707319,0,60,,0,60
cogact,cogact,carrot,18,3,202707320,0,60,,0,60
cogact,cogact,carrot,19,3,202707321,1,60,,0,60
cogact,cogact,carrot,20,3,202707322,1,60,,0,60
cogact,cogact,carrot,21,3,202707323,0,60,,0,60
cogact,cogact,carrot,22,3,202707324,1,60,,0,60
cogact,cogact,carrot,23,3,202707325,1,60,,0,60
cogact,cogact,carrot,0,4,202707326,0,60,,0,60
cogact,cogact,carrot,1,4,202707327,0,60,,0,60
cogact,cogact,carrot,2,4,202707328,1,60,,0,60
cogact,cogact,carrot,3,4,202707329,0,60,,0,60
cogact,cogact,carrot,4,4,202707330,0,60,,0,60
cogact,cogact,carrot,5,4,202707331,0,60,,0,60
cogact,cogact,carrot,6,4,202707332,0,60,,0,60
cogact,cogact,carrot,7,4,202707333,1,60,,0,60
cogact,cogact,carrot,8,4,202707334,1,60,,0,60
cogact,cogact,carrot,9,4,202707335,0,60,,0,60
cogact,cogact,carrot,10,4,202707336,1,60,,0,60
cogact,cogact,carrot,11,4,202707337,0,60,,0,60
cogact,cogact,carrot,12,4,202707338,1,60,,0,60
cogact,cogact,carrot,13,4,202707339,1,60,,0,60
cogact,cogact,carrot,14,4,202707340,1,60,,0,60
cogact,cogact,carrot,15,4,202707341,1,60,,0,60
cogact,cogact,carrot,16,4,202707342,1,60,,0,60
cogact,cogact,carrot,17,4,202707343,0,60,,0,60
cogact,cogact,carrot,18,4,202707344,1,60,,0,60
cogact,cogact,carrot,19,4,202707345,0,60,,0,60
cogact,cogact,carrot,20,4,202707346,1,60,,0,60
cogact,cogact,carrot,21,4,202707347,1,60,,0,60
cogact,cogact,carrot,22,4,202707348,1,60,,0,60
cogact,cogact,carrot,23,4,202707349,1,60,,0,60
cogact,cogact,carrot,0,5,202707350,1,60,,0,60
cogact,cogact,carrot,1,5,202707351,0,60,,0,60
cogact,cogact,carrot,2,5,202707352,0,60,,0,60
cogact,cogact,carrot,3,5,202707353,0,60,,0,60
cogact,cogact,carrot,4,5,202707354,0,60,,0,60
cogact,cogact,carrot,5,5,202707355,0,60,,0,60
cogact,cogact,carrot,6,5,202707356,0,60,,0,60
cogact,cogact,carrot,7,5,202707357,0,60,,0,60
cogact,cogact,carrot,8,5,202707358,0,60,,0,60
cogact,cogact,carrot,9,5,202707359,0,60,,0,60
cogact,cogact,carrot,10,5,202707360,0,60,,0,60
cogact,cogact,carrot,11,5,202707361,0,60,,0,60
cogact,cogact,carrot,12,5,202707362,1,60,,0,60
cogact,cogact,carrot,13,5,202707363,0,60,,0,60
cogact,cogact,carrot,14,5,202707364,1,60,,0,60
cogact,cogact,carrot,15,5,202707365,1,60,,0,60
cogact,cogact,carrot,16,5,202707366,1,60,,0,60
cogact,cogact,carrot,17,5,202707367,0,60,,0,60
cogact,cogact,carrot,18,5,202707368,0,60,,0,60
cogact,cogact,carrot,19,5,202707369,1,60,,0,60
cogact,cogact,carrot,20,5,202707370,1,60,,0,60
cogact,cogact,carrot,21,5,202707371,0,60,,0,60
cogact,cogact,carrot,22,5,202707372,0,60,,0,60
cogact,cogact,carrot,23,5,202707373,1,60,,0,60
cogact,cogact,carrot,0,6,202707374,1,60,,0,60
cogact,cogact,carrot,1,6,202707375,0,60,,0,60
cogact,cogact,carrot,2,6,202707376,0,60,,0,60
cogact,cogact,carrot,3,6,202707377,0,60,,0,60
cogact,cogact,carrot,4,6,202707378,0,60,,0,60
cogact,cogact,carrot,5,6,202707379,0,60,,0,60
cogact,cogact,carrot,6,6,202707380,0,60,,0,60
cogact,cogact,carrot,7,6,202707381,0,60,,0,60
cogact,cogact,carrot,8,6,202707382,0,60,,0,60
cogact,cogact,carrot,9,6,202707383,0,60,,0,60
cogact,cogact,carrot,10,6,202707384,1,60,,0,60
cogact,cogact,carrot,11,6,202707385,0,60,,0,60
cogact,cogact,carrot,12,6,202707386,1,60,,0,60
cogact,cogact,carrot,13,6,202707387,0,60,,0,60
cogact,cogact,carrot,14,6,202707388,1,60,,0,60
cogact,cogact,carrot,15,6,202707389,0,60,,0,60
cogact,cogact,carrot,16,6,202707390,1,60,,0,60
cogact,cogact,carrot,17,6,202707391,1,60,,0,60
cogact,cogact,carrot,18,6,202707392,0,60,,0,60
cogact,cogact,carrot,19,6,202707393,0,60,,0,60
cogact,cogact,carrot,20,6,202707394,1,60,,0,60
cogact,cogact,carrot,21,6,202707395,0,60,,0,60
cogact,cogact,carrot,22,6,202707396,1,60,,0,60
cogact,cogact,carrot,23,6,202707397,1,60,,0,60
cogact,cogact,carrot,0,7,202707398,0,60,,0,60
cogact,cogact,carrot,1,7,202707399,0,60,,0,60
cogact,cogact,carrot,2,7,202707400,0,60,,0,60
cogact,cogact,carrot,3,7,202707401,0,60,,0,60
cogact,cogact,carrot,4,7,202707402,0,60,,0,60
cogact,cogact,carrot,5,7,202707403,0,60,,0,60
cogact,cogact,carrot,6,7,202707404,1,60,,0,60
cogact,cogact,carrot,7,7,202707405,0,60,,0,60
cogact,cogact,carrot,8,7,202707406,0,60,,0,60
cogact,cogact,carrot,9,7,202707407,0,60,,0,60
cogact,cogact,carrot,10,7,202707408,1,60,,0,60
cogact,cogact,carrot,11,7,202707409,0,60,,0,60
cogact,cogact,carrot,12,7,202707410,1,60,,0,60
cogact,cogact,carrot,13,7,202707411,1,60,,0,60
cogact,cogact,carrot,14,7,202707412,1,60,,0,60
cogact,cogact,carrot,15,7,202707413,0,60,,0,60
cogact,cogact,carrot,16,7,202707414,1,60,,0,60
cogact,cogact,carrot,17,7,202707415,0,60,,0,60
cogact,cogact,carrot,18,7,202707416,0,60,,0,60
cogact,cogact,carrot,19,7,202707417,0,60,,0,60
cogact,cogact,carrot,20,7,202707418,1,60,,0,60
cogact,cogact,carrot,21,7,202707419,0,60,,0,60
cogact,cogact,carrot,22,7,202707420,0,60,,0,60
cogact,cogact,carrot,23,7,202707421,0,60,,0,60
cogact,cogact,carrot,0,8,202707422,1,60,,0,60
cogact,cogact,carrot,1,8,202707423,0,60,,0,60
cogact,cogact,carrot,2,8,202707424,0,60,,0,60
cogact,cogact,carrot,3,8,202707425,0,60,,0,60
cogact,cogact,carrot,4,8,202707426,0,60,,0,60
