paper_name,libero_spatial,libero_object,libero_goal,libero_long10,libero_spatial_prev_sota,libero_object_prev_sota,libero_goal_prev_sota,libero_long10_prev_sota
AnchorRefine: Synergy-Manipulation Based on Trajectory Anchor and Residual Refinement for Vision-Language-Action Models,,,,97.4,,,,95.8
ATA: Bridging Implicit Reasoning with Attention-Guided and Action-Guided Inference for Vision-Language Action Models,98.6,98.8,90.8,63.2,97.6,98.2,89.0,60.8
AtomicVLA: Unlocking the Potential of Atomic Skill Learning in Robots,98.8,98.8,97.2,96.2,98.8,98.8,98.0,92.4
AtomVLA: Scalable Post-Training for Robotic Manipulation via Predictive Latent World Models,96.4,99.6,97.6,94.4,97.3,98.8,95.8,89.6
Being-H0.7: A Latent World-Action Model from Egocentric Videos,,,,,,,,
Beyond Attention Magnitude: Leveraging Inter-layer Rank Consistency for Efficient Vision-Language-Action Models,,,,,,,,
Beyond Dense Futures: World Models as Structured Planners for Robotic Manipulation,95.4,98.0,93.4,92.2,97.5,98.0,91.6,89.6
Causal World Modeling for Robot Control,98.5,99.6,97.2,98.5,98.2,99.6,97.9,97.6
CF-VLA: Efficient Coarse-to-Fine Action Generation for Vision-Language-Action Policies,98.0,99.2,96.6,92.0,98.8,100.0,98.3,97.6
Chain of World: World Model Thinking in Latent Motion,97.2,97.8,94.6,92.8,97.5,99.2,95.8,92.0
CKT-WAM: Parameter-Efficient Context Knowledge Transfer Between World Action Models,99.0,99.8,98.6,97.8,98.8,100.0,98.2,97.6
CLaD: Planning with Grounded Foresight via Cross-Modal Latent Dynamics,97.3,95.7,94.3,94.7,98.2,98.6,97.6,93.8
CLAP: Contrastive Latent Action Pretraining for Learning Vision-Language-Action Models from Human Videos,97.0,92.0,93.0,82.0,93.0,94.0,95.0,77.0
Conservative Offline Robot Policy Learning via Posterior-Transition Reweighting,98.0,99.2,97.6,97.0,98.8,99.0,98.6,96.8
ConsisVLA-4D: Advancing Spatiotemporal Consistency in Efficient 3D-Perception and 4D-Reasoning for Robotic Manipulation,98.8,99.8,98.0,95.6,98.8,98.8,98.0,94.5
CORAL: Scalable Multi-Task Robot Learning via LoRA Experts,99.6,99.8,99.0,98.8,99.6,99.8,98.6,97.6
CorridorVLA: Explicit Spatial Constraints for Generative Action Heads via Sparse Anchors,92.0,95.8,90.8,85.2,98.0,94.1,95.0,82.0
Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,98.1,100.0,98.2,97.6,98.8,98.8,98.0,95.4
COT-FM: Cluster-wise Optimal Transport Flow Matching,96.1,,,94.5,97.1,,,93.5
CycleVLA: Proactive Self-Correcting Vision-Language-Action Models via Subtask Backtracking and Minimum Bayes Risk Decoding,97.6,98.1,91.7,93.6,94.4,97.6,93.0,90.6
DepthCache: Depth-Guided Training-Free Visual Token Merging for Vision-Language-Action Model Inference,98.9,97.1,98.3,96.1,99.0,97.6,99.0,96.5
Device-Conditioned Neural Architecture Search for Efficient Robotic Manipulation,97.2,98.0,97.2,93.9,97.6,98.4,97.9,94.5
DFM-VLA: Iterative Action Refinement for Robot Manipulation via Discrete Flow Matching,96.8,98.8,94.4,92.6,97.5,96.8,91.6,89.5
DiT4DiT: Jointly Modeling Video Dynamics and Actions for Generalizable Robot Control,98.4,99.6,98.6,97.6,98.8,98.8,98.0,95.4
DualCoT-VLA: Visual-Linguistic Chain of Thought via Parallel Reasoning for Vision-Language-Action Models,99.4,99.8,97.8,98.2,98.8,99.0,99.8,96.6
DyQ-VLA: Temporal-Dynamic-Aware Quantization for Embodied Vision-Language-Action Models,84.7,87.8,78.5,53.4,84.7,88.4,79.2,53.7
DySL-VLA: Efficient Vision-Language-Action Model Inference via Dynamic-Static Layer-Skipping for Robot Manipulation,98.0,98.2,97.0,92.6,97.6,98.4,97.9,94.5
Efficient Long-Horizon Vision-Language-Action Models via Static-Dynamic Disentanglement,97.8,97.6,96.2,92.4,96.2,98.3,96.2,90.7
EmbodiedMidtrain: Bridging the Gap between Vision-Language Models and Vision-Language-Action Models via Mid-training,,,,54.2,,,,55.8
Fast-dVLA: Accelerating Discrete Diffusion VLA to Real-Time Performance,97.0,98.8,97.6,92.8,98.8,98.8,98.0,92.4
Fast-ThinkAct: Efficient Vision-Language-Action Reasoning via Verbalizable Latent Planning,92.0,97.2,90.2,79.4,88.3,95.4,87.6,77.2
Fast-WAM: Do World Action Models Need Test-time Future Imagination?,98.2,100.0,97.0,95.2,98.8,99.8,98.0,98.5
FASTER: Rethinking Real-Time Flow VLAs,99.0,99.2,97.6,92.0,98.8,99.4,98.0,96.8
FlowHijack: A Dynamics-Aware Backdoor Attack on Flow-Matching Vision-Language-Action Models,96.0,98.8,97.8,82.8,96.8,98.8,95.8,85.2
From Noise to Intent: Anchoring Generative VLA Policies with Residual Bridges,96.8,98.6,97.4,92.4,97.8,99.2,97.9,95.0
From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,97.2,98.6,95.8,96.6,97.6,98.8,97.9,94.5
Generative Control as Optimization: Time Unconditional Flow Matching for Adaptive and Robust Robotic Control,97.4,98.6,96.4,92.4,98.8,98.8,98.0,92.4
GIPO: Gaussian Importance Sampling Policy Optimization,,,,,,,,
GST-VLA: Structured Gaussian Spatial Tokens for 3D Depth-Aware Vision-Language-Action Models,98.2,97.4,97.1,92.6,97.1,95.8,95.1,89.5
HeiSD: Hybrid Speculative Decoding for Embodied Vision-Language-Action Models with Kinematic Awareness,78.0,71.0,73.0,47.0,80.4,62.4,71.0,46.2
Hierarchical Latent Action Model,,,,94.0,,,,91.0
HoloBrain-0 Technical Report,97.2,99.6,97.6,95.2,98.8,98.8,98.0,97.6
Improving Robustness of Vision-Language-Action Models by Restoring Corrupted Visual Inputs,,,,89.0,,,,90.0
JEPA-VLA: Video Predictive Embedding is Needed for VLA Models,97.2,98.0,95.6,94.8,96.2,98.3,96.2,90.7
Joint-Aligned Latent Action: Towards Scalable VLA Pretraining in the Wild,96.0,98.2,97.4,96.0,96.8,98.8,95.8,94.0
KERV: Kinematic-Rectified Speculative Decoding for Embodied VLA Models,83.7,72.3,75.6,48.8,85.2,70.0,76.2,50.2
LaMP: Learning Vision-Language-Action Policies with 3D Scene Flow as Latent Motion Prior,99.4,99.8,97.4,96.7,98.8,98.8,98.0,94.5
LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,99.2,99.6,99.4,95.2,98.8,98.8,98.0,94.5
LangGap: Diagnosing and Closing the Language Gap in Vision-Language-Action Models,97.0,98.0,77.0,70.0,97.0,100.0,97.0,81.0
Language-Grounded Decoupled Action Representation for Robotic Manipulation,95.2,99.2,93.6,86.4,96.4,99.2,94.2,83.8
LAR-MoE: Latent-Aligned Routing for Mixture of Experts in Robotic Imitation Learning,98.0,99.0,96.0,88.0,98.0,98.0,98.0,92.0
Latent Bridge: Feature Delta Prediction for Efficient Dual-System Vision-Language-Action Model Inference,99.0,97.67,97.33,93.67,98.83,98.17,97.0,93.83
Learning Diffusion Policy from Primitive Skills for Robot Manipulation,98.3,99.8,95.6,93.8,95.2,95.4,91.9,87.5
Learning Physics from Pretrained Video Models: A Multimodal Continuous and Sequential World Interaction Models for Robotic Manipulation,91.0,99.6,93.8,78.8,96.0,97.0,89.0,77.0
Learning to Accelerate Vision-Language-Action Models through Adaptive Visual Token Caching,85.6,86.2,76.6,59.2,84.4,86.6,76.4,53.2
LIBERO-Para: A Diagnostic Benchmark and Metrics for Paraphrase Robustness in VLA Models,,,98.8,,,,98.8,
Libra-VLA: Achieving Learning Equilibrium via Asynchronous Coarse-to-Fine Dual-System,98.6,99.4,98.0,92.8,98.8,98.8,98.0,94.4
$M^2$-VLA: Boosting Vision-Language Models for Generalizable Manipulation via Layer Mixture and Meta-Skills,97.8,99.0,97.2,87.0,94.4,95.4,91.6,82.0
Mask World Model: Predicting What Matters for Robust Robot Policy Learning,98.8,100.0,98.2,96.0,98.2,99.2,95.8,94.4
MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation,98.8,99.8,98.0,95.2,98.8,99.4,98.0,95.0
